user_id,request_ts,url,item_id
34,2020-09-26 00:50:00,/items/502,i502
82,2017-08-04 09:52:00,/items/654,i654
21,2020-03-15 00:36:00,/search,null
49,2018-04-19 01:28:00,/top,null
5,2019-05-13 09:44:00,/items/279,i279
66,2019-03-09 13:27:00,/top,null
76,2023-04-18 03:44:00,/search,null
100,2021-05-22 13:32:00,/top,null
97,2024-09-18 07:06:00,/search,null
92,2025-01-14 08:12:00,/top,null
75,2021-10-22 13:33:00,/top,null
97,2020-03-02 19:19:00,/items/550,i550
35,2020-11-19 04:24:00,/top,null
74,2020-08-11 07:08:00,/search,null
94,2023-06-20 09:31:00,/search,null
12,2022-02-20 10:46:00,/items/904,i904
43,2019-09-14 11:29:00,/top,null
61,2020-04-07 18:35:00,/items/748,i748
55,2024-07-18 22:38:00,/search,null
35,2018-11-21 13:27:00,/search,null
82,2019-12-17 03:17:00,/items/531,i531
32,2021-12-05 15:12:00,/items/381,i381
66,2018-08-17 16:58:00,/search,null
66,2021-04-07 21:50:00,/top,null
14,2022-09-09 01:35:00,/top,null
83,2023-08-23 05:20:00,/items/737,i737
38,2025-01-26 07:17:00,/top,null
46,2022-10-05 11:54:00,/top,null
76,2017-12-02 12:36:00,/search,null
14,2025-04-20 03:54:00,/search,null
69,2017-07-16 05:31:00,/search,null
84,2023-06-30 09:57:00,/top,null
5,2021-05-17 12:29:00,/items/216,i216
85,2017-04-24 07:14:00,/top,null
63,2022-11-21 08:23:00,/search,null
4,2017-09-13 16:01:00,/top,null
36,2023-07-26 18:52:00,/top,null
51,2024-09-10 21:13:00,/search,null
32,2025-02-26 04:55:00,/items/340,i340
89,2021-05-20 07:05:00,/top,null
83,2019-11-28 07:54:00,/top,null
89,2023-01-20 14:28:00,/items/900,i900
77,2021-09-25 16:32:00,/top,null
10,2024-03-13 18:08:00,/top,null
12,2023-04-27 23:41:00,/search,null
98,2022-05-10 10:20:00,/items/894,i894
84,2020-01-09 15:30:00,/top,null
84,2023-02-18 19:04:00,/search,null
69,2025-01-22 20:05:00,/search,null
89,2021-08-18 22:41:00,/top,null
99,2018-09-10 02:17:00,/top,null
68,2017-12-20 17:08:00,/search,null
81,2017-03-26 00:40:00,/top,null
45,2024-10-26 01:42:00,/search,null
5,2017-07-15 05:01:00,/items/181,i181
23,2021-10-16 06:12:00,/search,null
90,2023-01-16 09:52:00,/items/904,i904
78,2024-12-20 18:02:00,/search,null
21,2019-08-12 03:56:00,/top,null
68,2020-02-15 07:33:00,/search,null
13,2022-05-10 10:21:00,/search,null
59,2025-05-12 18:41:00,/search,null
77,2021-05-17 21:37:00,/top,null
81,2018-08-18 14:30:00,/top,null
21,2024-12-26 14:56:00,/top,null
71,2023-04-09 17:11:00,/top,null
5,2023-03-11 13:42:00,/items/839,i839
70,2023-06-07 18:21:00,/items/889,i889
53,2017-08-28 07:45:00,/items/867,i867
5,2018-12-02 10:43:00,/search,null
65,2019-11-19 17:55:00,/items/426,i426
42,2023-05-26 21:55:00,/items/22,i22
76,2024-10-05 11:40:00,/top,null
14,2021-01-21 16:37:00,/top,null
13,2020-10-23 23:39:00,/items/812,i812
96,2017-08-01 08:50:00,/items/397,i397
34,2024-07-11 19:00:00,/top,null
83,2022-06-05 11:53:00,/items/680,i680
23,2022-12-12 15:30:00,/top,null
33,2023-10-23 18:39:00,/search,null
86,2019-11-20 22:10:00,/search,null
16,2024-12-12 14:30:00,/top,null
29,2022-09-04 05:31:00,/top,null
59,2022-02-13 06:25:00,/items/131,i131
86,2020-05-11 13:26:00,/search,null
79,2022-09-26 20:07:00,/items/710,i710
95,2017-12-11 05:29:00,/top,null
91,2018-07-26 13:48:00,/top,null
70,2024-07-17 18:45:00,/search,null
100,2020-06-13 21:03:00,/items/659,i659
18,2023-03-28 04:15:00,/top,null
77,2024-03-30 12:49:00,/search,null
85,2019-12-10 15:33:00,/items/888,i888
93,2022-12-25 18:04:00,/items/823,i823
74,2020-09-20 22:09:00,/search,null
78,2017-08-16 06:26:00,/top,null
23,2017-06-25 18:42:00,/items/412,i412
2,2018-07-15 22:56:00,/items/623,i623
65,2023-08-18 03:39:00,/items/505,i505
